Checking Euc20 1000000 random points, query radius = 1.8 pivots = 200
diagonal_distance	lidim	count	piv iDIM	count
0.01	34.3693373501049	1024	5.19552318403048	200
0.02	33.7834561595415	1202	5.178427236059494	200
0.03	33.00633285700761	1398	5.161349951795176	200
0.04	32.670484216114254	1639	5.144291570166166	200
0.05	32.177780613853464	1914	5.127252334209726	200
0.06	31.64027725295962	2221	5.110232491159927	200
0.07	30.96443568887694	2558	5.0932322925381115	200
0.08	30.89641785712637	2996	5.076251994245568	200
0.09	30.427727198301326	3456	5.05929185665876	200
0.1	29.960319807787876	3986	5.042352144726813	200
0.11	29.800506864339294	4629	5.0254331280716755	200
0.12	29.617841706523294	5368	5.008535081090772	200
0.13	28.91064482599755	6105	4.991658283062389	200
0.14	28.590768192943838	7009	4.974803018253804	200
0.15	28.151669931210453	7995	4.957969576032202	200
0.16	27.70955678870901	9098	4.941158250978596	200
0.17	27.308930027726028	10340	4.924369343004653	200
0.18	26.89520923832065	11723	4.907603157472709	200
0.19	26.580786066709393	13313	4.890860005318888	200
0.2	26.1932937182861	15043	4.874140203179569	200
0.21	25.825187683189448	16973	4.857444073521215	200
0.22	25.368034034594103	19047	4.840771944773667	200
0.23	25.034004504654987	21426	4.824124151467056	200
0.24	24.611759048540552	23962	4.807501034372419	200
0.25	24.133791261244863	26669	4.790902940646099	200
0.26	23.776078257708125	29755	4.774330223978093	200
0.27	23.398594670854003	33094	4.757783244744497	200
0.28	23.031533749848204	36756	4.741262370164018	200
0.29	22.697045179931017	40790	4.724767974458885	200
0.3	22.335517708222625	45118	4.708300439020183	200
0.31	21.94527698216023	49735	4.6918601525777275	200
0.32	21.63060376972409	54900	4.675447511374677	200
0.33	21.278479453731254	60373	4.659062919347	200
0.34	20.941416487371292	66299	4.6427067883080015	200
0.35	20.599243605878723	72648	4.626379538137944	200
0.36	20.270844468411337	79497	4.6100815969790645	200
0.37	19.90487933170543	86649	4.5938134014360905	200
0.38	19.5946222530483	94517	4.577575396782363	200
0.39	19.246614634362736	102698	4.561368037171935	200
0.4	18.889364464120906	111291	4.545191785857582	200
0.41	18.56280567683235	120557	4.5290471154151435	200
0.42	18.26624028685383	130550	4.51293450797421	200
0.43	17.931983285574315	140810	4.496854455455514	200
0.44	17.615143673147674	151722	4.480807459815102	200
0.45	17.28713685626901	163049	4.464794033295622	200
0.46	16.982662190082802	175117	4.4488146986848545	200
0.47	16.643060971047706	187314	4.432869989581785	200
0.48	16.334510748469317	200330	4.416960450670436	200
0.49	16.021972656364497	213772	4.40108663800169	200
0.5	15.73037549920619	227983	4.385249119283412	200
0.51	15.42993533234654	242548	4.369448474179059	200
0.52	15.12622860383402	257493	4.3536852946151665	200
0.53	14.826819396219939	272903	4.337960185097812	200
0.54	14.528774461006487	288709	4.322273763038611	200
0.55	14.249342020478512	305248	4.306626659090267	200
0.56	13.964281730211981	322021	4.2910195174922	200
0.57	13.683563565940903	339187	4.275452996426493	200
0.58	13.413553020493293	356906	4.259927768384434	200
0.59	13.142359749981061	374842	4.244444520544173	200
0.6	12.855473307103775	392471	4.229003955159657	200
0.61	12.582557006409896	410596	4.213606789961312	200
0.62	12.320291444878254	429150	4.198253758568871	200
0.63	12.053264899179974	447556	4.1829456109166765	200
0.64	11.798086304959119	466374	4.167683113691911	200
0.65	11.546515837305781	485281	4.152467050786179	200
0.66	11.29293770242003	503987	4.137298223760827	200
0.67	11.048468580518076	522918	4.122177452326505	200
0.68	10.80576200328006	541708	4.107105574837428	200
0.69	10.567439964220002	560440	4.092083448800743	200
0.7	10.330181709689056	578894	4.077111951401636	200
0.71	10.099123023884392	597290	4.062191980044532	200
0.72	9.874960686788102	615679	4.047324452911071	200
0.73	9.651792607608032	633649	4.032510309535229	200
0.74	9.432193433565343	651310	4.017750511396387	200
0.75	9.216871362484232	668689	4.003046042530642	200
0.76	9.005857654271423	685742	3.988397910161231	200
0.77	8.795801138967901	702176	3.9738071453485246	200
0.78	8.592605021012602	718415	3.959274803660285	200
0.79	8.391042735158836	734013	3.944801965862879	200
0.8	8.194467899289302	749222	3.9303897386340987	200
0.81	8.00284373317399	764039	3.916039255298263	200
0.82	7.814504344338558	778280	3.9017516765845106	200
0.83	7.631221707542665	792110	3.8875281914087823	200
0.84	7.453252926966624	805559	3.8733700176805397	200
0.85	7.277065821349821	818246	3.8592784031348666	200
0.86	7.106287181460289	830548	3.8452546261908673	200
0.87	6.939345563139741	842305	3.8312999968372425	200
0.88	6.776339374372882	853517	3.8174158575459574	200
0.89	6.616632751795385	864108	3.80360358421489	200
0.9	6.460392852613693	874076	3.789864587140534	200
0.91	6.309027686183867	883673	3.776200312021734	200
0.92	6.16145088534026	892737	3.7626122409954617	200
0.93	6.017678447414624	901267	3.7491018937058493	200
0.94	5.876953399542664	909199	3.735670828407537	200
0.95	5.740112189004948	916643	3.722320643104603	200
0.96	5.60830407860172	923819	3.7090529767262588	200
0.97	5.479096753891539	930383	3.695869510340721	200
0.98	5.3527063805418225	936351	3.6827719684085047	200
0.99	5.230288231349334	941966	3.6697621200767307	200
1	5.112115900820522	947307	3.656841780515783	200
1.01	4.997238085894493	952227	3.644012812300067	200
1.02	4.885640720548488	956776	3.6312771268344037	200
1.03	4.777881148108813	961060	3.61863668582791	200
1.04	4.672889633347002	964957	3.6060935028171555	200
1.05	4.570743379991896	968453	3.593649644740595	200
1.06	4.471702540482877	971652	3.5813072335663225	200
1.07	4.37620806688195	974698	3.5690684479753645	200
1.08	4.283436974292589	977442	3.556935525102823	200
1.09	4.193288076860959	979894	3.5449107623393705	200
1.1	4.105864204603739	982088	3.532996519195681	200
1.11	4.020967906369365	984051	3.5211952192327045	200
1.12	3.938852551188056	985826	3.5095093520606575	200
