Distance,IDIM,LOCAL_COUNT,PIV_IDIM,PIV_COUNT
0.01,34.35231328,1023,4.941903762,500
0.02,33.77395131,1201,4.927268051,500
0.03,33.00211288,1397,4.912651689,500
0.04,32.6701786,1638,4.898054947,500
0.05,32.16537771,1912,4.8834781,500
0.06,31.63416149,2219,4.868921428,500
0.07,30.95140553,2555,4.854385218,500
0.08,30.89021939,2993,4.83986976,500
0.09,30.42625888,3453,4.825375353,500
0.1,29.96228467,3983,4.810902297,500
0.11,29.80508727,4626,4.796450902,500
0.12,29.62421648,5365,4.782021482,500
0.13,28.9136048,6101,4.767614356,500
0.14,28.59556281,7005,4.753229852,500
0.15,28.15762141,7991,4.738868302,500
0.16,27.7162216,9094,4.724530045,500
0.17,27.31354684,10335,4.710215427,500
0.18,26.90063546,11718,4.6959248,500
0.19,26.58676257,13308,4.681658526,500
0.2,26.19785706,15037,4.667416969,500
0.21,25.82892576,16966,4.653200506,500
0.22,25.37114431,19039,4.639009516,500
0.23,25.03554001,21416,4.624844391,500
0.24,24.61220774,23950,4.610705526,500
0.25,24.13450072,26656,4.596593328,500
0.26,23.77785683,29742,4.582508209,500
0.27,23.40114726,33081,4.568450593,500
0.28,23.03346957,36741,4.55442091,500
0.29,22.69962574,40775,4.5404196,500
0.3,22.3385446,45103,4.526447112,500
0.31,21.94815751,49719,4.512503905,500
0.32,21.63192804,54879,4.498590446,500
0.33,21.28002425,60351,4.484707213,500
0.34,20.94313624,66276,4.470854695,500
0.35,20.60055597,72622,4.457033389,500
0.36,20.27236207,79470,4.443243807,500
0.37,19.90590621,86618,4.429486467,500
0.38,19.59569228,94484,4.415761901,500
0.39,19.2477153,102663,4.402070652,500
0.4,18.89067035,111255,4.388413276,500
0.41,18.56427071,120520,4.374790339,500
0.42,18.26744259,130509,4.361202421,500
0.43,17.93321344,140767,4.347650116,500
0.44,17.61629065,151676,4.334134028,500
0.45,17.28851853,163003,4.320654777,500
0.46,16.98367006,175065,4.307212997,500
0.47,16.64384829,187257,4.293809336,500
0.48,16.33514315,200268,4.280444456,500
0.49,16.02248209,213705,4.267119035,500
0.5,15.73086664,227912,4.253833766,500
0.51,15.43041502,242473,4.240589359,500
0.52,15.12675457,257415,4.22738654,500
0.53,14.82722911,272819,4.214226052,500
0.54,14.52923958,288622,4.197623053,500
0.55,14.24981267,305157,4.180694168,500
0.56,13.96458661,321922,4.163804875,500
0.57,13.68385235,339083,4.146955749,500
0.58,13.41375932,356795,4.130147376,500
0.59,13.14250226,374724,4.113380354,500
0.6,12.85562102,392348,4.096655292,500
0.61,12.58265413,410466,4.079972814,500
0.62,12.32032226,429012,4.063333552,500
0.63,12.05331872,447413,4.046738154,500
0.64,11.79808732,466223,4.03018728,500
0.65,11.54656426,485126,4.013681602,500
0.66,11.29300257,503827,3.997221807,500
0.67,11.04846583,522749,3.980808597,500
0.68,10.80568443,541529,3.964442686,500
0.69,10.56731562,560252,3.948124804,500
0.7,10.33006936,578700,3.931855695,500
0.71,10.09910371,597095,3.915636119,500
0.72,9.874974042,615480,3.899466852,500
0.73,9.65183151,633446,3.883348687,500
0.74,9.432239924,651102,3.867282431,500
0.75,9.21693565,668477,3.851268911,500
0.76,9.005922258,685525,3.835308968,500
0.77,8.795876058,701955,3.819403465,500
0.78,8.592664597,718188,3.803553279,500
0.79,8.391109262,733782,3.787759309,500
0.8,8.194549619,748988,3.772022473,500
0.81,8.002916861,763800,3.756343705,500
0.82,7.814567926,778036,3.740723965,500
0.83,7.631294084,791863,3.725164229,500
0.84,7.453332005,805309,3.709665496,500
0.85,7.277130906,817991,3.694228788,500
0.86,7.106346884,830289,3.678855148,500
0.87,6.939383051,842040,3.663545642,500
0.88,6.776386466,853250,3.64830136,500
0.89,6.616702123,863841,3.633123415,500
0.9,6.460466253,873807,3.618012948,500
0.91,6.309103764,883402,3.602971121,500
0.92,6.16151448,892462,3.587999125,500
0.93,6.01774937,900991,3.573098178,500
0.94,5.877023262,908921,3.558269523,500
0.95,5.740186291,916364,3.543514434,500
0.96,5.608381501,923539,3.528834212,500
0.97,5.479164402,930100,3.514230188,500
0.98,5.35277528,936067,3.499703724,500
0.99,5.23035762,941681,3.485256213,500
1,5.112185271,947021,3.47088908,500
1.01,4.997301484,951939,3.456603783,500
1.02,4.885703073,956487,3.442401812,500
1.03,4.777932257,960768,3.428284696,500
1.04,4.672934449,964663,3.414253994,500
1.05,4.570786409,968158,3.400311305,500
1.06,4.471748061,971357,3.386458265,500
1.07,4.376255682,974403,3.372696548,500
1.08,4.283486122,977147,3.359027867,500
1.09,4.193334052,979598,3.345453975,500
1.1,4.105906841,981791,3.331976668,500
1.11,4.021011167,983754,3.318597783,500
1.12,3.938896161,985529,3.305319202,500
1.13,3.85951432,987175,3.292142852,500
1.14,3.78264495,988651,3.279070703,500
1.15,3.70790061,989941,3.266104777,500
1.16,3.635705559,991124,3.25324714,500
1.17,3.565636559,992123,3.240499911,500
1.18,3.497962448,993087,3.227865258,500
1.19,3.432481844,993893,3.215345403,500
