Distance,IDIM,LOCAL_COUNT,PIV_IDIM,PIV_COUNT
1.63,5.706727497,935962,3.899244735,500
1.64,5.588645118,941341,3.889691107,500
1.65,5.472798223,946227,3.880289362,500
1.66,5.361708412,951009,3.871042421,500
1.67,5.253500397,955409,3.86195328,500
1.68,5.148115261,959475,3.853025008,500
1.69,5.045383158,963150,3.844260747,500
1.7,4.945562267,966546,3.835663721,500
1.71,4.848849156,969704,3.827237234,500
1.72,4.755283062,972664,3.818984673,500
1.73,4.663829045,975260,3.81090951,500
1.74,4.575206601,977663,3.803015306,500
1.75,4.489709911,979927,3.795305713,500
1.76,4.406405296,981965,3.78778448,500
1.77,4.325682107,983823,3.780455449,500
1.78,4.24765002,985560,3.773322565,500
1.79,4.171784866,987085,3.766389876,500
1.8,4.098146368,988467,3.759661537,500
1.81,4.026486186,989660,3.753141813,500
1.82,3.957256333,990748,3.746835083,500
1.83,3.889983173,991736,3.740745846,500
1.84,3.825108576,992670,3.73487872,500
1.85,3.762160837,993508,3.729238452,500
1.86,3.701102385,994228,3.723829918,500
1.87,3.641733459,994890,3.718658128,500
1.88,3.584286527,995459,3.713728234,500
1.89,3.528615378,995957,3.709045531,500
1.9,3.474648746,996387,3.704615465,500
1.91,3.42202194,996775,3.683982214,500
1.92,3.371331595,997138,3.663031768,500
1.93,3.322223979,997437,3.642330974,500
1.94,3.274709228,997697,3.621880883,500
1.95,3.227959951,997937,3.60168255,500
1.96,3.183120702,998137,3.581737035,500
1.97,3.139524772,998320,3.562045399,500
1.98,3.097298864,998486,3.542608709,500
1.99,3.056346131,998643,3.523428033,500
2,3.016838559,998774,3.504504443,500
2.01,2.977912244,998894,3.485839014,500
2.02,2.940561252,999002,3.467432824,500
2.03,2.904855673,999068,3.449286955,500
2.04,2.868843135,999142,3.431402492,500
2.05,2.835329275,999194,3.413780521,500
2.06,2.801290195,999243,3.396422135,500
2.07,2.769212277,999288,3.379328427,500
2.08,2.738086829,999318,3.362500494,500
2.09,2.70966289,999352,3.345939438,500
2.1,2.678092012,999369,3.329646361,500
2.11,2.649626866,999390,3.313622372,500
2.12,2.621598432,999414,3.297868581,500
2.13,2.595515654,999424,3.282386103,500
2.14,2.568535626,999441,3.267176054,500
2.15,2.545870454,999451,3.252239557,500
2.16,2.520730559,999461,3.237577736,500
2.17,2.498804911,999467,3.22319172,500
2.18,2.471461257,999475,3.209082643,500
2.19,2.458321095,999481,3.195251642,500
2.2,2.430251423,999484,3.181699858,500
2.21,2.417226359,999485,3.168428436,500
2.22,2.397755811,999487,3.155438527,500
2.23,2.366564737,999490,3.142731287,500
2.24,2.345772014,999493,3.130307874,500
2.25,2.327936633,999495,3.118169455,500
2.26,2.330465242,999495,3.1063172,500
2.27,2.29236387,999496,3.094752284,500
2.28,2.287300302,999497,3.083475889,500
2.29,2.260378388,999498,3.072489203,500
2.3,2.261483614,999498,3.06179342,500
2.31,2.262828087,999498,3.051389739,500
2.32,2.264416733,999498,3.041279369,500
2.33,2.266254614,999498,3.031463522,500
2.34,2.188803079,999499,3.021943419,500
2.35,2.190221504,999499,3.01272029,500
2.36,2.191878407,999499,3.003795369,500
2.37,2.193778452,999499,2.9951699,500
2.38,2.195926424,999499,2.986845137,500
2.39,2.19832723,999499,2.978822338,500
2.4,2.200985903,999499,2.971102774,500
2.41,2.203907608,999499,2.963687722,500
2.42,2.207097645,999499,2.95657847,500
2.43,2.210561458,999499,2.949776313,500
2.44,2.065891323,999500,2.943282559,500
2.45,2.070225305,999500,2.937098523,500
2.46,2.074838152,999500,2.93122553,500
2.47,2.079736089,999500,2.925664918,500
2.48,2.084925528,999500,2.920418033,500
2.49,2.090413077,999500,2.915486232,500
2.5,2.096205548,999500,2.910870883,500
2.51,2.102309963,999500,2.906573366,500
2.52,2.108733564,999500,2.902595071,500
2.53,2.115483825,999500,2.898937399,500
2.54,2.122568457,999500,2.895601763,500
2.55,2.129995425,999500,2.892589587,500
2.56,2.137772952,999500,2.889902309,500
2.57,2.145909535,999500,2.887541374,500
2.58,2.154413957,999500,2.885508244,500
2.59,2.163295297,999500,2.883804388,500
